Specimen,Stress,Strain
1,230.132777883261,0
1,240.912604969348,0.000273185185185
1,240.399638305752,0.000425907407407
1,244.989162331913,0.000536462962963
1,245.77433211578,0.000596611111111
1,263.709636971017,0.000833962962963
1,266.251084236786,0.000952111111111
1,287.295576013129,0.00117087037037
1,309.197207961033,0.001363296296296
1,306.694486794588,0.001480759259259
1,320.009286744207,0.001588037037037
1,340.036861230851,0.0018385
1,338.449625052402,0.001891796296296
1,353.967270806349,0.002032814814815
1,371.148507071273,0.002251666666667
1,380.499626838315,0.002371555555556
1,398.433502963675,0.002536111111111
1,412.411556920786,0.002731111111111
1,414.907736008317,0.002859796296296
1,431.492124126548,0.003043666666667
1,451.075138032225,0.003148092592593
1,454.089795672828,0.003333666666667
1,473.946636939059,0.003440481481481
1,489.497150999829,0.003652333333333
1,505.174716744902,0.00379237037037
1,516.46948063789,0.003922907407407
1,534.074342831254,0.004025425925926
1,552.924704055525,0.00425987037037
1,568.523328715027,0.004377037037037
1,587.354417125208,0.004553444444444
1,597.950126047814,0.004722777777778
1,612.621933635497,0.004867055555556
1,624.932607187639,0.004997166666667
1,643.790375248383,0.005120277777778
1,653.875771937113,0.00526412962963
1,669.944546481659,0.005430925925926
1,690.364908890272,0.005586462962963
1,703.327534444609,0.005702777777778
1,711.364192645425,0.005871018518519
1,744.124081430083,0.0060795
1,741.38723655443,0.006142203703704
1,768.272421189568,0.006295351851852
1,779.469302046656,0.006396185185185
1,815.719487687544,0.006687555555556
1,809.027241742975,0.00677137037037
1,843.908553768181,0.006933759259259
1,858.033503715638,0.007106759259259
1,874.254776375576,0.007249
1,884.163845238476,0.007303759259259
1,904.990816650719,0.007569685185185
1,921.802981909648,0.007663037037037
1,946.079659210326,0.007843574074074
1,955.972636063022,0.007946296296296
1,973.402539003386,0.00815662962963
1,982.035300907432,0.008300907407407
1,1019.92281098844,0.008492537037037
1,1017.06339612852,0.008513314814815
1,1045.63626417215,0.008714888888889
1,1058.86479891567,0.008861740740741
1,1094.2681989168,0.009104037037037
1,1089.30546808763,0.009155148148148
1,1115.06343748649,0.009325481481481
1,1128.18947966034,0.00942112962963
1,1158.81475577179,0.009630185185185
1,1169.63497831526,0.009750351851852
1,1186.53925905317,0.009916055555556
1,1203.61130275726,0.010055333333333
1,1232.93102054551,0.010255
1,1244.7036043471,0.010393962962963
1,1258.27383112037,0.010547833333333
1,1277.02500841259,0.010687037037037
1,1307.51703666384,0.010876444444445
1,1309.31039344589,0.010954703703704
1,1348.51180864043,0.011209018518519
1,1343.79933112883,0.011243092592593
1,1371.27034765134,0.011497592592593
1,1379.92995463783,0.011548814814815
1,1425.00284806022,0.011862148148148
1,1420.54934663807,0.011918925925926
1,1443.79177389974,0.01206487037037
1,1451.66016531909,0.012154648148148
1,1493.68422437827,0.012424981481482
1,1504.49895759116,0.012534148148148
1,1525.02672288844,0.01267612962963
1,1536.59966048866,0.012786518518519
1,1554.31207596331,0.012965981481482
1,1580.53611208762,0.013156240740741
